d:cdsxmatch,d:mulens,d:nalerthist,d:rf_kn_vs_nonkn,d:rf_snia_vs_nonia,d:roid,d:snn_sn_vs_all,d:snn_snia_vs_nonia,i:aimage,i:aimagerat,i:bimage,i:bimagerat,i:candid,i:chinr,i:chipsf,i:classtar,i:clrcoeff,i:clrcounc,i:clrmed,i:clrrms,i:dec,i:decnr,i:diffmaglim,i:distnr,i:distpsnr1,i:distpsnr2,i:distpsnr3,i:drb,i:drbversion,i:dsdiff,i:dsnrms,i:elong,i:exptime,i:fid,i:field,i:fink_broker_version,i:fink_science_version,i:fwhm,i:isdiffpos,i:jd,i:jdendhist,i:jdendref,i:jdstarthist,i:jdstartref,i:magap,i:magapbig,i:magdiff,i:magfromlim,i:maggaia,i:maggaiabright,i:magnr,i:magpsf,i:magzpsci,i:magzpscirms,i:magzpsciunc,i:mindtoedge,i:nbad,i:ncovhist,i:ndethist,i:neargaia,i:neargaiabright,i:nframesref,i:nid,i:nmatches,i:nmtchps,i:nneg,i:objectId,i:objectidps1,i:objectidps2,i:objectidps3,i:pdiffimfilename,i:pid,i:programid,i:programpi,i:publisher,i:ra,i:ranr,i:rb,i:rbversion,i:rcid,i:rfid,i:schemavsn,i:scorr,i:seeratio,i:sgmag1,i:sgmag2,i:sgmag3,i:sgscore1,i:sgscore2,i:sgscore3,i:sharpnr,i:sigmagap,i:sigmagapbig,i:sigmagnr,i:sigmapsf,i:simag1,i:simag2,i:simag3,i:sky,i:srmag1,i:srmag2,i:srmag3,i:ssdistnr,i:ssmagnr,i:ssnamenr,i:ssnrms,i:sumrat,i:szmag1,i:szmag2,i:szmag3,i:tblid,i:tooflag,i:xpos,i:ypos,i:zpclrcov,i:zpmed,d:tracklet,d:tns,d:blazar_stats_m0,d:blazar_stats_m1,d:blazar_stats_m2,v:classification,v:rate,v:sigma(rate),v:g-r,v:sigma(g-r),v:rate(g-r),v:sigma(rate(g-r)),v:lastdate,v:firstdate,v:lapse,v:constellation
Unknown,0.0,5,0.0,0.0,0,0.0,0.0,0.765,0.5757901,0.675,0.5080501,1782552085315015008,5.745,1.2547991,0.992,0.103399,2.68883e-05,0.574,0.31891,0.5207276,0.5197789,19.332111,3.6894398,0.62216127,4.5038843,4.7798305,0.9999999,d6_m7,-4.472546,6.617581,1.1333333,30.0,2,423,1.4,0.5.1,1.3286092,t,2459537.0520833,2459537.0520833,2458442.040405,2459334.7125463,2458217.781655,19.0129,18.9238,-0.136824,0.31921116,15.994738,-999.0,18.471,19.149723,26.202724,0.048625,1.49273e-05,1051.3394,0,369,57,16.016487,-999.0,15,1782,467,7,5,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20211118552072_000423_zr_c14_o_q2_scimrefdiffimg.fits,1782552085315,1,Prince,Fink,192.822631,192.8222096,0.78,t17_f5_c3,53,423120253,3.3,5.6427469254,2.0,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.279,0.3284,0.114,0.17540704,-999.0,17.9011,18.7988,0.3607766,-999.0,18.08,-999.0,-999.0,-999.0,null,11.090127,0.8652439,-999.0,18.057,18.5421,8,0,1375.1063,2029.1606,-1.811e-05,26.264,,,-1.0,-1.0,-1.0,Unknown,-8.9331237592,114.1703999514,,,,,2021-11-18 13:14:59.997,2021-04-30 05:06:04.000,202.3395369998,Virgo
Unknown,0.0,4,0.0,0.0,0,0.0,0.0,1.017,0.46227273,0.852,0.38727272,1782549725315015010,5.745,0.92205083,0.984,0.104246,2.53276e-05,0.571,0.318185,0.5206511,0.5197789,19.32813,3.3898149,0.57823896,4.3353953,4.748324,0.9999939,d6_m7,-4.5508466,5.1457925,1.1936619,30.0,2,423,1.4,0.5.1,2.2,t,2459537.0497222,2459537.0497222,2458442.040405,2459334.7125463,2458217.781655,18.9427,18.7302,-0.228115,0.38542983,15.994738,-999.0,18.471,19.170815,26.157816,0.047881,1.40045e-05,1052.1624,0,368,56,16.306194,-999.0,15,1782,465,7,7,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20211118549711_000423_zr_c14_o_q2_scimrefdiffimg.fits,1782549725315,1,Prince,Fink,192.8225955,192.8222096,0.7442857,t17_f5_c3,53,423120253,3.3,5.7633972168,1.1727461,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.2709,0.2843,0.114,0.2046928,-999.0,17.9011,18.7988,-0.04919858,-999.0,18.08,-999.0,-999.0,-999.0,null,9.696639,0.96313393,-999.0,18.057,18.5421,10,0,1373.9232,2028.3376,-1.702e-05,26.219,,,-1.0,-1.0,-1.0,Unknown,-33.8651518839,122.4395235627,,,,,2021-11-18 13:11:35.998,2021-04-30 05:06:04.000,202.3371758997,Virgo
Unknown,0.0,3,0.0,0.0,0,0.0,0.0,0.839,0.5378205,0.667,0.4275641,1782547365315015011,5.745,1.3087883,0.835,0.101439,2.40871e-05,0.571,0.319559,0.5206909,0.5197789,19.401419,3.6374774,0.4208764,4.634876,4.9673176,0.99996144,d6_m7,-3.426261,6.5847464,1.257871,30.0,2,423,1.4,0.5.1,1.56,t,2459537.0473611,2459537.0473611,2458442.040405,2459334.7125463,2458217.781655,19.249,19.4281,-0.001774,0.15241937,15.994738,-999.0,18.471,19.250774,26.174774,0.046951,1.33968e-05,1054.3496,0,367,55,16.010757,-999.0,15,1782,469,7,2,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20211118547268_000423_zr_c14_o_q2_scimrefdiffimg.fits,1782547365315,1,Prince,Fink,192.822674,192.8222096,0.7942857,t17_f5_c3,53,423120253,3.3,5.6463918686,1.581686,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.3509,0.528,0.114,0.20414455,-999.0,17.9011,18.7988,0.375918,-999.0,18.08,-999.0,-999.0,-999.0,null,10.011007,1.0,-999.0,18.057,18.5421,11,0,1372.4309,2026.1504,-1.623e-05,26.235,,,-1.0,-1.0,-1.0,Unknown,0.0139417527,0.0490362696,,,,,2021-11-18 13:08:11.999,2021-04-30 05:06:04.000,202.3348147999,Virgo
Unknown,0.0,1,0.0,0.0,0,0.0,0.0,0.681,0.22929293,0.628,0.2114478,1777545695315015006,5.745,1.2955803,1.0,0.10882,1.85097e-05,0.577,0.318274,0.5207745,0.5197789,19.737448,3.8769841,0.7301816,4.583204,4.7780538,0.99999297,d6_m7,-6.036024,9.693797,1.0843949,30.0,2,423,1.4,0.5.1,2.97,t,2459532.0456944,2459532.0456944,2458442.040405,2459334.7125463,2458217.781655,19.3644,19.3702,0.183358,0.3730473,15.994738,-999.0,18.471,19.181042,26.161041,0.045575,1.03082e-05,1045.5673,0,357,53,15.860531,-999.0,15,1777,468,7,6,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20211113545683_000423_zr_c14_o_q2_scimrefdiffimg.fits,1777545695315,1,Prince,Fink,192.822644,192.8222096,0.83285713,t17_f5_c3,53,423120253,3.3,7.191010952,0.7964651,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.3051,0.3897,0.114,0.13593741,-999.0,17.9011,18.7988,0.6633757,-999.0,18.08,-999.0,-999.0,-999.0,null,15.729821,0.9916705,-999.0,18.057,18.5421,6,0,1377.7053,2034.9327,-1.249e-05,26.2235,,,-1.0,-1.0,-1.0,Unknown,0.0099093089,0.0011317092,,,,,2021-11-13 13:05:47.996,2021-04-30 05:06:04.000,197.3331480999,Virgo
Unknown,0.0,18,0.0,0.0,0,0.4605314434,0.5966884494,0.851,0.28945577,0.764,0.25986394,1642250205315015007,8.33,1.3682331,0.973,-0.029327,4.7558e-05,0.527,0.291062,0.5206885,0.5205089,19.614126,4.6852307,0.40985802,4.6403756,4.976502,0.99998564,d6_m7,-8.083931,6.519103,1.1138743,30.0,1,423,1.4,0.5.1,2.94,t,2459396.7502083,2459396.7502083,2458491.998831,2459334.7125463,2458203.80559,19.1168,19.0251,0.07906,0.49732664,15.994738,-999.0,17.705,19.03774,25.89174,0.041384,2.20495e-05,1068.7705,0,347,51,16.012657,-999.0,15,1642,407,7,3,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210701250197_000423_zg_c14_o_q2_scimrefdiffimg.fits,1642250205315,1,Kulkarni,Fink,192.8226759,192.8213695,0.87285715,t17_f5_c3,53,423120153,3.3,7.4628610611,0.9441455,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.324,0.2318,0.2711,0.077,0.1626097,-999.0,17.9011,18.7988,0.451799,-999.0,18.08,-999.0,-999.0,-999.0,null,14.603034,1.0,-999.0,18.057,18.5421,7,0,1342.6671,2011.7295,-2.927e-05,25.878,,,-1.0,-1.0,-1.0,SN candidate,-0.0115038444,0.1151892608,1.197967,0.1772783734,-3.63928e-05,0.0601446544,2021-07-01 06:00:17.997,2021-04-30 05:06:04.000,62.0376619999,Virgo
Unknown,0.0,18,0.0,0.0,0,0.4346344173,0.5859814286,0.66,0.32352942,0.622,0.30490196,1642191255315015021,5.745,15.440286,0.985,0.108642,1.34475e-05,0.571,0.318706,0.5207033,0.5197789,20.139826,3.6745975,0.4595148,4.6363387,4.9485173,0.99995863,d6_m7,-33.771442,25.243605,1.0610932,30.0,2,423,1.4,0.5.1,2.04,t,2459396.69125,2459396.69125,2458442.040405,2459334.7125463,2458217.781655,17.8258,17.8071,-0.013973,2.3140256,15.994738,-999.0,18.471,17.839773,26.115772,0.042826,7.4539e-06,1043.0406,0,346,50,15.981074,-999.0,15,1642,465,7,6,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210701191250_000423_zr_c14_o_q2_scimrefdiffimg.fits,1642191255315,1,Kulkarni,Fink,192.8226725,192.8222096,0.9285714,t17_f5_c3,53,423120253,3.3,26.9834632874,1.1463972,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.0557,0.0683,0.114,0.07060954,-999.0,17.9011,18.7988,0.1998184,-999.0,18.08,-999.0,-999.0,-999.0,null,59.01505,0.9291291,-999.0,18.057,18.5421,21,0,1345.2162,2037.4594,-9.05e-06,26.179,,,-1.0,-1.0,-1.0,SN candidate,0.0215473309,0.0236213677,1.197967,0.1772783734,-3.63928e-05,0.0601446544,2021-07-01 04:35:24.000,2021-04-30 05:06:04.000,61.9787037,Virgo
Unknown,0.0,18,0.0,0.0,0,0.4562816918,0.6777234077,0.961,0.3626415,0.822,0.31018868,1640195245315015012,8.33,1.7357327,0.98,-0.029305,3.02615e-05,0.556,0.311826,0.5206529,0.5205089,19.949163,4.650749,0.33952913,4.6009493,4.9964776,0.99999285,d6_m7,-8.8708,9.06826,1.1690998,30.0,1,423,1.4,0.5.1,2.65,t,2459394.6952431,2459394.6952431,2458491.998831,2459334.7125463,2458203.80559,18.9387,19.0143,-0.12268,1.0104641,15.994738,-999.0,17.705,19.06138,25.92938,0.037243,1.59309e-05,1049.3059,0,344,48,16.123587,-999.0,15,1640,443,7,3,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210629195243_000423_zg_c14_o_q2_scimrefdiffimg.fits,1640195245315,1,Kulkarni,Fink,192.8226696,192.8213695,0.85,t17_f5_c3,53,423120153,3.3,8.9753761292,0.9577685,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.324,0.1623,0.2199,0.077,0.17201649,-999.0,17.9011,18.7988,0.1698037,-999.0,18.08,-999.0,-999.0,-999.0,null,17.93906,0.98690593,-999.0,18.057,18.5421,12,0,1379.438,2031.1941,-1.983e-05,25.914,,,-1.0,-1.0,-1.0,SN candidate,0.056014941,0.117042141,,,,,2021-06-29 04:41:09.004,2021-04-30 05:06:04.000,59.9826968,Virgo
Unknown,0.0,17,0.0,0.0,0,0.4441939294,0.5417013764,1.028,0.38792452,0.841,0.3173585,1638238425315015008,8.33,1.4393008,0.98,-0.007765,4.93893e-05,0.517,0.288463,0.5206668,0.5205089,19.487078,4.290554,0.69579583,4.2390676,4.630364,0.999979,d6_m7,-7.022509,6.2520175,1.2223543,30.0,1,423,1.4,0.5.1,2.65,t,2459392.7384259,2459392.7384259,2458491.998831,2459334.7125463,2458203.80559,18.7602,18.8858,-0.191568,0.72687685,15.994738,-999.0,17.705,18.951769,26.083769,0.039892,2.24469e-05,1049.4645,0,343,47,16.334972,-999.0,15,1638,386,7,2,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210627238380_000423_zg_c14_o_q2_scimrefdiffimg.fits,1638238425315,1,Kulkarni,Fink,192.8225664,192.8213695,0.82857144,t17_f5_c3,53,423120153,3.3,8.032409668,1.0345082,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.324,0.1872,0.2679,0.077,0.15121211,-999.0,17.9011,18.7988,-0.03826723,-999.0,18.08,-999.0,-999.0,-999.0,null,13.274527,1.0,-999.0,18.057,18.5421,8,0,1362.5581,2031.0355,-3.009e-05,26.079,,,-1.0,-1.0,-1.0,SN candidate,0.0614786152,0.0998628628,1.198113,0.1636823844,-0.0055931199,0.0121690353,2021-06-27 05:43:19.998,2021-04-30 05:06:04.000,58.0258796001,Virgo
Unknown,0.0,17,0.0,0.0,0,0.2012899816,0.4466997385,0.65,0.33333334,0.649,0.3328205,1638194605315015037,5.745,13.971868,0.983,0.097438,1.44887e-05,0.571,0.317716,0.5207082,0.5197789,20.065126,3.6703188,0.50122046,4.594381,4.8999505,1.0,d6_m7,-28.69762,46.08521,1.0015408,30.0,2,423,1.4,0.5.1,1.95,t,2459392.6946065,2459392.6946065,2458442.040405,2459334.7125463,2458217.781655,17.736,17.8413,-0.017656,2.329126,15.994738,-999.0,18.471,17.753656,26.159657,0.040478,8.0279e-06,1032.483,0,342,46,15.998262,-999.0,15,1638,465,7,1,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210627194595_000423_zr_c14_o_q2_scimrefdiffimg.fits,1638194605315,1,Kulkarni,Fink,192.8226599,192.8222096,0.9285714,t17_f5_c3,53,423120253,3.3,21.9617042542,1.2334441,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.0527,0.0726,0.114,0.06266435,-999.0,17.9011,18.7988,-0.2445291,-999.0,18.08,-999.0,-999.0,-999.0,null,74.78283,1.0,-999.0,18.057,18.5421,37,0,1364.5182,2048.017,-9.75e-06,26.218,,,-1.0,-1.0,-1.0,Unknown,0.0310009842,0.0148376208,1.198113,0.1636823844,-0.0055931199,0.0121690353,2021-06-27 04:40:14.002,2021-04-30 05:06:04.000,57.9820602001,Virgo
Unknown,0.0,17,0.0,0.0,0,0.3943226337,0.5990301967,0.877,0.42367148,0.781,0.3772947,1636191385315015007,8.33,1.8076836,0.982,-0.030395,4.28377e-05,0.513,0.288356,0.5206702,0.5205089,19.573719,4.7147818,0.33657625,4.66658,5.03113,0.9999995,d6_m7,-6.583252,9.137028,1.1229193,30.0,1,423,1.4,0.5.1,2.07,t,2459390.6913889,2459390.6913889,2458491.998831,2459334.7125463,2458203.80559,18.6778,18.7863,-0.14812,0.89591986,15.994738,-999.0,17.705,18.82592,26.27992,0.038055,1.90932e-05,1026.8625,0,341,45,16.038301,-999.0,15,1636,385,7,1,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210625191377_000423_zg_c14_o_q2_scimrefdiffimg.fits,1636191385315,1,Kulkarni,Fink,192.8226858,192.8213695,0.8971428,t17_f5_c3,53,423120153,3.3,9.7541866302,1.2079629,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.324,0.1744,0.2461,0.077,0.13756326,-999.0,17.9011,18.7988,0.4853715,-999.0,18.08,-999.0,-999.0,-999.0,null,15.72028,1.0,-999.0,18.057,18.5421,7,0,1413.1014,2053.6375,-2.579e-05,26.263,,,-1.0,-1.0,-1.0,SN candidate,0.022465016,0.0118615612,,,,,2021-06-25 04:35:36.001,2021-04-30 05:06:04.000,55.9788425998,Virgo
Unknown,0.0,18,0.0,0.0,0,0.4103976488,0.4481734037,0.744,0.3336323,0.69,0.30941704,1632193955315015006,5.745,4.4810333,0.983,0.106615,2.71755e-05,0.574,0.319757,0.5206991,0.5197789,19.205954,3.6521444,0.46013632,4.6137137,4.933567,1.0,d6_m7,-15.433905,22.704096,1.0782609,30.0,2,423,1.4,0.5.1,2.23,t,2459386.6939583,2459386.6939583,2458442.040405,2459334.7125463,2458217.781655,17.5506,17.526,-0.017031,1.6553528,15.994738,-999.0,18.471,17.56763,26.135632,0.049484,1.52782e-05,1039.945,0,340,44,16.006027,-999.0,15,1632,463,7,1,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210621193958_000423_zr_c14_o_q2_scimrefdiffimg.fits,1632193955315,1,Kulkarni,Fink,192.8226668,192.8222096,0.9185714,t17_f5_c3,53,423120253,3.3,19.1771087646,1.122425,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.0866,0.108,0.114,0.06324928,-999.0,17.9011,18.7988,-0.5171044,-999.0,18.08,-999.0,-999.0,-999.0,null,38.138,1.0,-999.0,18.057,18.5421,6,0,1382.9626,2040.555,-1.843e-05,26.197,,,-1.0,-1.0,-1.0,Unknown,0.0391157499,0.0203659762,,,,,2021-06-21 04:39:17.997,2021-04-30 05:06:04.000,51.981412,Virgo
Unknown,0.0,18,0.0,0.0,0,0.446651727,0.552187562,0.659,0.3723164,0.647,0.36553672,1628189915315015010,5.745,1.0699277,0.983,0.103359,2.59756e-05,0.571,0.317472,0.5207086,0.5197789,19.391466,3.6945999,0.47097075,4.64648,4.949659,1.0,d6_m7,-16.629028,41.85461,1.0185472,30.0,2,423,1.4,0.5.1,1.77,t,2459382.689919,2459382.689919,2458442.040405,2459334.7125463,2458217.781655,17.3093,17.3756,-0.101708,2.0821662,15.994738,-999.0,18.471,17.411009,25.870008,0.047897,1.43275e-05,1042.5164,0,338,42,15.96206,-999.0,15,1628,465,7,2,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210617189896_000423_zr_c14_o_q2_scimrefdiffimg.fits,1628189915315,1,Kulkarni,Fink,192.8226745,192.8222096,0.9285714,t17_f5_c3,53,423120253,3.3,19.4090003967,1.2730958,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.066,0.089,0.114,0.051471412,-999.0,17.9011,18.7988,0.2293367,-999.0,18.08,-999.0,-999.0,-999.0,null,58.48364,1.0,-999.0,18.057,18.5421,10,0,1363.9729,2037.9836,-1.744e-05,25.934,,,-1.0,-1.0,-1.0,SN candidate,0.0369846671,0.018446568,,,,,2021-06-17 04:33:29.002,2021-04-30 05:06:04.000,47.9773726999,Virgo
Unknown,0.0,18,0.0,0.0,0,0.406344682,0.6547170281,0.721,0.27945736,0.717,0.27790698,1624249505315015019,5.745,4.44337,0.984,0.102744,1.22511e-05,0.571,0.318414,0.5207076,0.5197789,20.105686,3.674453,0.49054533,4.6082406,4.9143314,1.0,d6_m7,-53.78082,27.688948,1.0055788,30.0,2,423,1.4,0.5.1,2.58,t,2459378.7495023,2459378.7495023,2458442.040405,2459334.7125463,2458217.781655,17.2799,17.3211,0.014626,2.825787,15.994738,-999.0,18.471,17.265274,26.207273,0.040594,6.7859e-06,1035.355,0,335,39,15.990234,-999.0,15,1624,465,7,4,ZTF21aaxtctv,108621928227075212,108621928214285011,108621928213045807,ztf_20210613249502_000423_zr_c14_o_q2_scimrefdiffimg.fits,1624249505315,1,Kulkarni,Fink,192.8226639,192.8222096,0.92142856,t17_f5_c3,53,423120253,3.3,27.7580089569,0.97503567,-999.0,18.5528,19.1598,0.5,0.0739464,0.5,0.369,0.0327,0.0422,0.114,0.051323656,-999.0,17.9011,18.7988,0.2130124,-999.0,18.08,-999.0,-999.0,-999.0,null,81.469765,0.9947588,-999.0,18.057,18.5421,19,0,1352.094,2045.145,-8.24e-06,26.267,,,-1.0,-1.0,-1.0,SN candidate,0.0205815261,0.0365037311,,,,,2021-06-13 05:59:16.999,2021-04-30 05:06:04.000,44.0369559997,Virgo
